"val","lambda_CH","lambda_PBJ","lambda_PBR","lambda_R","lambda_Co"
102,1.11889401871621,0.97435680832892,0.93870360483414,0.0789941648253489,1.71763721936708
103,1.11889405851742,0.974373718599782,0.938729096311015,0.0804881180292646,1.7176375390712
104,1.11889405851446,0.974390533560511,0.938754491209576,0.0817430132021446,1.71763754543392
105,1.11889405776903,0.974407167999064,0.938779767623342,0.0794343303874995,1.71764055730572
106,1.11889405441821,0.97442353020751,0.938804761363121,0.0841981928941362,1.71763730777156
107,1.11889401247145,0.97443976826016,0.938829599793136,0.0844239376723856,1.71763529938368
108,1.11889405633733,0.974455578586848,0.938854077060547,NA,1.71764033639267
109,1.11889405783595,0.974471280732406,0.938878382546061,NA,1.71763715926364
110,1.11889405831197,0.974486771223183,0.938902528921446,0.0801156942117298,1.71763735628597
111,1.11889398885553,0.974502072474894,0.938926463678875,NA,1.71762979299928
112,1.11889406122524,0.974517087349139,0.938950089539747,0.0815621556304615,1.71764077355393
113,1.11889405386063,0.974531980755616,0.938973640411888,0.0831009011991772,1.7176376497072
114,1.11889399867143,0.974546663097015,0.938996876078958,0.0823136688360298,1.71763132003095
115,1.11889405831059,0.974561177644122,0.939020083462666,0.0811532385472294,1.71763735292055
116,1.11889401289621,0.974575589825157,0.939043083471138,0.0797830032308398,1.71763620059007
117,1.11889405566338,0.974589578950212,0.939065667511892,0.0782851817385758,1.71763743836475
118,1.11889405532505,0.974603511477863,0.939088172036258,0.0770295423909723,1.71763748076802
119,1.11889405771848,0.97461731460564,0.9391105869014,0.0755119705851237,1.71764000117821
120,1.11889402392014,0.974630962730864,0.939132743588551,0.073576003955397,1.71763582007249
