"SRCH","GCH","ECH","phiJCH","phiACH","lambda"
0.8,4,2,0.4,0.4,0.968979100305787
1,4,2,0.4,0.4,0.968979100305787
0.2,5,2,0.4,0.4,0.951570467195874
0.4,5,2,0.4,0.4,0.951570467195874
0.6,5,2,0.4,0.4,0.951570467195874
0.8,5,2,0.4,0.4,0.951570467195874
1,5,2,0.4,0.4,0.951570467195874
0.2,6,2,0.4,0.4,1.09594103299659
0.4,6,2,0.4,0.4,1.09594103299659
0.6,6,2,0.4,0.4,1.09594103299659
0.8,6,2,0.4,0.4,1.09594103299659
1,6,2,0.4,0.4,1.09594103299659
0.2,7,2,0.4,0.4,0.951229428824944
0.4,7,2,0.4,0.4,0.951229428824944
0.6,7,2,0.4,0.4,0.951229428824944
0.8,7,2,0.4,0.4,0.951229428824944
1,7,2,0.4,0.4,0.951229428824944
0.2,8,2,0.4,0.4,0.95145106859901
0.4,8,2,0.4,0.4,0.95145106859901
0.6,8,2,0.4,0.4,0.95145106859901
0.8,8,2,0.4,0.4,0.95145106859901
1,8,2,0.4,0.4,0.95145106859901
0.2,3,1,0.6,0.4,0.999999616390482
0.4,3,1,0.6,0.4,0.999999616390482
0.6,3,1,0.6,0.4,0.999999616390482
0.8,3,1,0.6,0.4,0.999999616390482
1,3,1,0.6,0.4,0.999999616390482
0.2,4,1,0.6,0.4,1.00005204450749
0.4,4,1,0.6,0.4,1.00005204450749
0.6,4,1,0.6,0.4,1.00005204450749
0.8,4,1,0.6,0.4,1.00005204450749
1,4,1,0.6,0.4,1.00005204450749
0.2,5,1,0.6,0.4,0.998844804609345
0.4,5,1,0.6,0.4,0.998844804609345
0.6,5,1,0.6,0.4,0.998844804609345
0.8,5,1,0.6,0.4,0.998844804609345
1,5,1,0.6,0.4,0.998844804609345
0.2,6,1,0.6,0.4,0.99779132041002
0.4,6,1,0.6,0.4,0.99779132041002
0.6,6,1,0.6,0.4,0.99779132041002
0.8,6,1,0.6,0.4,0.99779132041002
1,6,1,0.6,0.4,0.99779132041002
0.2,7,1,0.6,0.4,0.977418510691126
0.4,7,1,0.6,0.4,0.977418510691126
0.6,7,1,0.6,0.4,0.977418510691126
0.8,7,1,0.6,0.4,0.977418510691126
1,7,1,0.6,0.4,0.977418510691126
0.2,8,1,0.6,0.4,1.01461468936675
0.4,8,1,0.6,0.4,1.01461468936675
0.6,8,1,0.6,0.4,1.01461468936675
0.8,8,1,0.6,0.4,1.01461468936675
1,8,1,0.6,0.4,1.01461468936675
0.2,3,1.5,0.6,0.4,1.00032598873971
0.4,3,1.5,0.6,0.4,1.00032598873971
0.6,3,1.5,0.6,0.4,1.00032598873971
0.8,3,1.5,0.6,0.4,1.00032598873971
1,3,1.5,0.6,0.4,1.00032598873971
0.2,4,1.5,0.6,0.4,0.99779132041002
0.4,4,1.5,0.6,0.4,0.99779132041002
0.6,4,1.5,0.6,0.4,0.99779132041002
0.8,4,1.5,0.6,0.4,0.99779132041002
1,4,1.5,0.6,0.4,0.99779132041002
0.2,5,1.5,0.6,0.4,1.04721253968435
0.4,5,1.5,0.6,0.4,1.04721253968435
0.6,5,1.5,0.6,0.4,1.04721253968435
0.8,5,1.5,0.6,0.4,1.04721253968435
1,5,1.5,0.6,0.4,1.04721253968435
0.2,6,1.5,0.6,0.4,0.952059856573163
0.4,6,1.5,0.6,0.4,0.952059856573163
0.6,6,1.5,0.6,0.4,0.952059856573163
0.8,6,1.5,0.6,0.4,0.952059856573163
1,6,1.5,0.6,0.4,0.952059856573163
0.2,7,1.5,0.6,0.4,1.11048095084233
0.4,7,1.5,0.6,0.4,1.11048095084233
0.6,7,1.5,0.6,0.4,1.11048095084233
0.8,7,1.5,0.6,0.4,1.11048095084233
